Collection ID,Collection Name,Item Type,Item ID,Item Name,Item Slug,Partner Name,Part Of A Specialization,Part Of Specialization ID,Part Of Specialization Name,Course Deeplink,Duration,For-credit,Auto-enrollment,Start Date,End Date
,,COURSE,VlLC102NEeWEHRLwpfV5DQ,Leadership Through Marketing,leadership-marketing,Northwestern University,TRUE,9dmX615UEeWXkAoEvGE-aw,Organizational Leadership,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=VlLC102NEeWEHRLwpfV5DQ&productType=course&showMiniModal=true&attemptSSOLogin=true,10,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,M1C0S9GGEeioHg7n2aFXLg,"Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation",healthy-practices-nutrition-physical-activity-community-family-participation,University of Colorado System,TRUE,#NAME?,School Health for Children and Adolescents,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=M1C0S9GGEeioHg7n2aFXLg&productType=course&showMiniModal=true&attemptSSOLogin=true,3,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,3-Koa_SUEeeBQA7SG0nILA,Astro 101: Black Holes,black-holes-astro-101,University of Alberta,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=3-Koa_SUEeeBQA7SG0nILA&productType=course&showMiniModal=true&attemptSSOLogin=true,25,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,gSdfY0J2Ee-WHQr_8jC3HQ,Essential Testing Techniques in Software Development,essential-testing-techniques-in-software-development,Board Infinity ,TRUE,lUMFGVsQT9Cq_x3Mwq424g,ISTQB Foundation Level Software Testing  Certification Prep,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=gSdfY0J2Ee-WHQr_8jC3HQ&productType=course&showMiniModal=true&attemptSSOLogin=true,5,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,xYCmR8CtEeux9w57Jm7QdQ,Финансирование банка через облигации,fixed-income-bank-financing-ru,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=xYCmR8CtEeux9w57Jm7QdQ&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,GpdyBYhLEeye3A4xsW_s2Q,Анализ акций и отчетности Apple с помощью Bloomberg Terminal,analiz-akciy-i-otchetnosti-apple-s-pomoschyu-bloomberg-terminal,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=GpdyBYhLEeye3A4xsW_s2Q&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,aKKGy6MMEe2kJhKLeKbtZQ,Communicating In Groups and Teams ,communicatingingroupsandteams,Arizona State University,TRUE,BxZlJ6cAEe2GTQ5ngs6dSQ,Communication For Everyone ,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=aKKGy6MMEe2kJhKLeKbtZQ&productType=course&showMiniModal=true&attemptSSOLogin=true,4,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,xpDC4mPeEe-D_Qr_6kpdRQ,Raspberry Pi and Arduino — Go to the Next Level,packt-raspberry-pi-and-arduino-go-to-the-next-level-npq2l,Packt,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=xpDC4mPeEe-D_Qr_6kpdRQ&productType=course&showMiniModal=true&attemptSSOLogin=true,4,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,J70doxG2Ee-d6hIj26omoQ,Fire Detection & Fire Alarm Systems and Safety Signages,fire-detection--fire-alarm-systems-and-safety-signages,L&T EduTech,TRUE,guD4Vcv9SOyOz5bUjON3Yg,Fire and Life Safety Systems,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=J70doxG2Ee-d6hIj26omoQ&productType=course&showMiniModal=true&attemptSSOLogin=true,6,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,1kvOOXL8EeyKjA79ESMRTQ,Creating an Interactive Syllabus using Microsoft Word,interactive-syllabus-microsoft-word,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=1kvOOXL8EeyKjA79ESMRTQ&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,KMSTbbR4Ee2MNRLdxpojNw,Administración de clientes potenciales en Salesforce,lead-management-in-salesforce-es,"Salesforce,Pathstream",TRUE,kBgXSRNeTtCKL2rZ6S3ZMQ,Operaciones de ventas de Salesforce,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=KMSTbbR4Ee2MNRLdxpojNw&productType=course&showMiniModal=true&attemptSSOLogin=true,46,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,PCLYI4-9EeymKA5AV4I0Ow,إعداد برنامج باي تشارم للمبتدئين,eedad-brnmj-pycharm-lel-mobtadien,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=PCLYI4-9EeymKA5AV4I0Ow&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,DaK_AW1DEe6ZoQ5WeLvw3w,Product Management: Capstone Project,product-management-capstone,IBM,TRUE,child~NcR060rhTm6VoVe3tYiYGw,IBM Product Manager,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=DaK_AW1DEe6ZoQ5WeLvw3w&productType=course&showMiniModal=true&attemptSSOLogin=true,6,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,vDNsxhbQEe-r_Ar_6dbL9Q,Gemini in Gmail - 日本語版,gemini-in-gmail-ja,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=vDNsxhbQEe-r_Ar_6dbL9Q&productType=course&showMiniModal=true&attemptSSOLogin=true,2,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,r6hDKrFkEe6oQA6J-7B2nw,Psychological Safety,psychological-safety,Coursera Instructor Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=r6hDKrFkEe6oQA6J-7B2nw&productType=course&showMiniModal=true&attemptSSOLogin=true,3,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,gdzwYpiAEe6Yvg6sv84HSQ,Building Generative AI-Powered Applications with Python,building-gen-ai-powered-applications,IBM,TRUE,"FKdStbCPR16Ga6G64hBdFg,child~faDd9OteQi2rEBpQGicyCw","IBM Generative AI Engineering,IBM AI Developer",https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=gdzwYpiAEe6Yvg6sv84HSQ&productType=course&showMiniModal=true&attemptSSOLogin=true,6,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,pMoPNbwlEeyjBhKbu4asXQ,Use Python for Non-Data Role,use-python-non-data-role,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=pMoPNbwlEeyjBhKbu4asXQ&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,1qEFFhRlEemnrArl4L3rfA,Prediction and Control with Function Approximation,prediction-control-function-approximation,"University of Alberta,Alberta Machine Intelligence Institute",TRUE,hCHKKxRlEem7XwoldGTLKg,Reinforcement Learning,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=1qEFFhRlEemnrArl4L3rfA&productType=course&showMiniModal=true&attemptSSOLogin=true,13,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,JUBMxw4dEearKQowajWNkQ,Proyecto Final - Programa Especializado en Marketing Digital,marketing-digital-proyecto-final,Universidad Austral,TRUE,ZZf-lQ4ZEeaxTRLjNvr3wQ,Marketing Digital,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=JUBMxw4dEearKQowajWNkQ&productType=course&showMiniModal=true&attemptSSOLogin=true,9,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,rDcR16kvEeyjPxJkzIUqCw,Building Transformations and Preparing Data with Wrangler in Cloud Data Fusion,googlecloud-building-transformations-and-preparing-data-with-wrangler-in-c-ya4z6,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=rDcR16kvEeyjPxJkzIUqCw&productType=course&showMiniModal=true&attemptSSOLogin=true,3,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,NDXAjcoiEe257Q7_Z0q7AQ,Deploy and Monitor in Google Cloud for AWS Professionals,deploy-and-monitor-in-google-cloud-for-aws-professionals,Google Cloud,TRUE,QH6U4XGpTlW7cjdHD45rlg,Google Cloud Infrastructure for AWS Professionals,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=NDXAjcoiEe257Q7_Z0q7AQ&productType=course&showMiniModal=true&attemptSSOLogin=true,2,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,C_z-XLiDEe6jXQ7DOFLcow,Project Management in Basecamp: Make a project plan,project-management-in-basecamp-make-a-project-plan,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=C_z-XLiDEe6jXQ7DOFLcow&productType=course&showMiniModal=true&attemptSSOLogin=true,2,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,MdNTKtdhEeSgyyIAC4cL9g,Effective Problem-Solving and Decision-Making,problem-solving,"University of California, Irvine",TRUE,"3h1I9ctkEem5_AoaHy-1fg,VzjHg9NfEeS7_CIAC3kWGA","Project Management & Other Tools for Career Development,Career Success",https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=MdNTKtdhEeSgyyIAC4cL9g&productType=course&showMiniModal=true&attemptSSOLogin=true,0,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,5OzcoAylEe-SXg6EFTZuww,Python Debugging: A Systematic Approach,python-debugging-a-systematic-approach,University of Michigan,TRUE,6-lMGOtqRNmWqvl7I8A8-Q,Data-Oriented Python Programming and Debugging,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=5OzcoAylEe-SXg6EFTZuww&productType=course&showMiniModal=true&attemptSSOLogin=true,20,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,jzbpPAmrEeutYApDK7IjMQ,Cyber Incident Response,incident-response,Infosec,TRUE,req7xXFWEeuJvRIq2L0SHw,Cyber Incident Response,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=jzbpPAmrEeutYApDK7IjMQ&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
